folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFM_t_7_mxi_242,f_thickness,20260712,3.389400966229e+08,1.492029180657e-01,9.720422704746e-02,1.534942693314e+00,second_order,-4.619795716182e+09,5.528565458695e+10,6.838630823513e+12,-75.01669504176147,-99.74151911973486,-99.98759260567543
MFM_t_7_mxi_243,f_thickness,20260712,8.594511930314e+07,3.639012961051e-02,2.145612713632e-02,1.696025073831e+00,second_order,-5.938188509847e+09,4.045316762901e+12,3.314363908643e+14,-67.88698385052767,-81.08664814338968,-99.39867173691746
MFM_t_7_mxi_244,f_thickness,20260712,2.189763208469e+08,1.486691957361e-01,8.635998573106e-02,1.721505561605e+00,second_order,-3.791458589389e+09,1.667810575850e+11,2.152929426586e+11,-79.49624355824945,-99.22023687883947,-99.99960939192306
MFM_t_7_mxi_245,f_thickness,20260712,2.723090115604e+08,7.748389862206e-02,4.924975009760e-02,1.573285112483e+00,second_order,-7.627090229398e+09,5.901032770599e+11,1.133096745519e+14,-58.75360452030323,-97.24104895489842,-99.79442115691926
MFM_t_7_mxi_246,f_thickness,20260712,3.084065745035e+08,6.430105197147e-02,3.717362223308e-02,1.729749432765e+00,second_order,-1.243624489277e+10,2.989796450674e+12,4.361295191922e+12,-32.746268930656484,-86.02159594278825,-99.99208725977341
MFM_t_7_mxi_247,f_thickness,20260712,3.795595523666e+08,5.984658006252e-02,3.787114771847e-02,1.580268454165e+00,second_order,-1.390974345658e+10,1.926828018227e+12,5.463530346608e+14,-24.777764209496333,-90.99136645858893,-99.00874638265971
MFM_t_7_mxi_248,f_thickness,20260712,5.577748376632e+08,9.994775223997e-02,6.363891566067e-02,1.570544551276e+00,second_order,-1.206029296420e+10,5.454148080406e+11,6.625678962286e+13,-34.77937217983318,-97.44998407371199,-99.87978966305589
MFM_t_7_mxi_249,f_thickness,20260712,3.653128602611e+08,8.981532065592e-02,5.284929720305e-02,1.699461022364e+00,second_order,-1.026011253211e+10,1.159789890456e+12,1.389711730302e+13,-44.51453353279597,-94.57755336266835,-99.97478632509879
MFM_t_7_mxi_250,f_thickness,20260712,4.818618208294e+08,1.490647199254e-01,9.841297253888e-02,1.514685676896e+00,second_order,-6.313090171122e+09,3.978991160596e+10,1.099552852417e+13,-65.85956032178248,-99.81396744861897,-99.9800507058025
MFM_t_7_mxi_251,f_thickness,20260712,3.509371104683e+08,1.137522664642e-01,6.852902513728e-02,1.659913682360e+00,second_order,-7.478158138017e+09,4.586271360402e+11,9.219923264326e+12,-59.55901153083546,-97.85574853507953,-99.98327220367132
MFM_t_7_mxi_252,f_thickness,20260712,2.544051101463e+08,1.365355179752e-01,9.020208690480e-02,1.513662517801e+00,second_order,-3.631003109481e+09,2.593647182213e+10,9.056965691300e+12,-80.36396768135744,-99.87873740271968,-99.9835678591788
MFM_t_7_mxi_253,f_thickness,20260712,5.621376884300e+08,6.205276007921e-02,4.067385817508e-02,1.525617752122e+00,second_order,-1.809393262646e+10,9.891002379151e+11,9.634888718070e+14,-2.1501675675255183,-95.37559061067697,-98.25193278181615
MFM_t_7_mxi_254,f_thickness,20260712,4.219854497414e+08,1.493589258440e-01,9.052501316433e-02,1.649918852514e+00,second_order,-6.774029730981e+09,2.311501085368e+11,3.250296243895e+12,-63.366854085674106,-98.91928776145701,-99.9941029559556
